,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
58,0,0,-2,,,0,17761,0,0,0,0,1.7,0,0,2,-1.0,-1.0,0,James,0.0,1,0,0.4,59,False,0.0,0,0,0,0,19,,40,0,0,0,17761.jpg,0.0,0,0,Tarkowski,1.5,False,26.0,a,3,90,6.0,0,9747,1367,18942,1458,0.0,0.0,Tarkowski,1
59,0,0,0,,,0,85017,0,0,-1,1,0.0,0,0,2,-1.0,-1.0,0,Tendayi,0.0,0,0,0.0,60,False,0.0,0,0,0,0,0,,44,0,0,0,85017.jpg,0.0,0,0,Darikwa,0.0,False,27.0,a,3,90,0.0,0,124,10,853,58,0.0,0.0,Darikwa,0
60,0,0,8,0.0,0.0,0,19556,0,0,0,0,11.7,0,0,3,0.0,0.0,0,David,0.0,1,0,1.3,61,False,0.0,0,0,0,0,86,Transferred to Sheffield Wednesday,50,0,0,0,19556.jpg,1.0,0,0,Jones,0.0,False,14.0,u,3,90,2.0,1,86,3,2471,69,0.0,0.2,Jones,1
61,0,0,58,,,1,28244,0,0,-1,1,53.5,0,0,3,1.0,1.0,2,George,2.0,8,0,17.2,62,False,56.8,0,0,0,0,450,,54,0,0,0,28244.jpg,2.2,0,0,Boyd,0.2,False,21.0,a,3,90,62.0,11,1363,26,4578,396,0.4,2.0,Boyd,0
62,0,0,30,,,2,39158,0,0,-1,1,37.0,0,0,3,-0.3,-0.3,1,Scott,0.7,5,0,6.3,63,False,19.6,0,0,0,0,291,,54,0,0,0,39158.jpg,1.6,0,0,Arfield,0.1,False,37.0,a,3,90,8.0,8,755,5,2741,214,0.1,1.5,Arfield,1
63,1,1,59,100.0,100.0,1,15982,0,0,0,0,23.0,0,0,3,2.3,2.3,2,Dean,3.3,7,0,12.4,64,False,62.4,0,0,0,0,431,,45,0,0,0,15982.jpg,3.0,0,0,Marney,0.6,False,8.0,a,3,90,37.0,15,17098,5931,6291,1466,0.7,3.3,Marney,0
64,0,0,0,0.0,0.0,0,95508,0,0,-1,1,0.0,0,0,3,0.0,0.0,0,Fredrik,0.0,0,0,0.0,65,False,0.0,0,0,0,0,0,Joined Charlton in season-long loan deal,44,0,0,0,95508.jpg,0.0,0,0,Ulvestad,0.1,False,20.0,u,3,90,0.0,0,468,6,1415,151,0.0,0.0,Ulvestad,0
65,0,0,0,,,0,15944,0,0,-1,1,0.0,0,0,3,-1.0,-1.0,0,Michael,0.0,0,0,0.0,66,False,0.0,0,0,0,0,0,,44,0,0,0,15944.jpg,0.0,0,0,Kightly,0.2,False,11.0,a,3,90,0.0,0,2526,56,3884,369,0.0,0.0,Kightly,0
66,0,3,47,,,1,40399,0,0,0,0,47.4,0,0,4,0.7,0.7,1,Sam,1.7,6,1,16.4,67,False,50.0,0,0,0,0,378,,60,0,0,0,40399.jpg,3.2,0,0,Vokes,1.0,False,9.0,a,3,90,70.0,16,34238,1956,19496,3562,0.3,2.7,Vokes,0
67,1,1,30,,,2,73426,-1,1,-1,1,44.8,0,0,4,1.0,1.0,2,Andre,2.0,7,1,16.9,68,False,53.2,0,0,0,0,427,,64,0,0,0,73426.jpg,3.6,0,0,Gray,8.3,False,7.0,a,3,90,76.0,18,129298,3898,250824,32173,0.3,2.8,Gray,0
68,0,0,5,0.0,0.0,0,34654,-1,1,-1,1,1.0,0,0,4,0.0,0.0,0,Lukas,0.0,0,0,0.3,69,False,0.4,0,0,0,0,13,Joined Birmingham on loan until January 2017 - Expected back 07 Jan,44,0,0,0,34654.jpg,1.0,0,0,Jutkiewicz,0.4,False,19.0,n,3,90,2.0,2,4513,548,12238,771,0.0,0.4,Jutkiewicz,0
69,0,0,0,0.0,0.0,0,44699,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Ashley,0.0,0,0,0.0,70,False,0.0,0,0,0,0,0,Hamstring injury - Expected back 17 Sep,44,0,0,0,44699.jpg,0.0,0,0,Barnes,0.1,False,10.0,i,3,90,0.0,0,2112,979,2653,393,0.0,0.0,Barnes,0
70,0,0,0,0.0,0.0,0,37002,0,0,0,0,0.0,0,0,4,0.0,0.0,0,Rouwen,0.0,0,0,0.0,71,False,0.0,0,0,0,0,0,Season-long loan to Fortuna Dusseldorf,45,0,0,0,37002.jpg,0.0,0,0,Hennings,0.1,False,18.0,u,3,90,0.0,0,353,4,2771,96,0.0,0.0,Hennings,0
71,0,0,0,0.0,0.0,0,153678,0,0,0,0,0.0,0,0,4,0.0,0.0,0,Chris,0.0,0,0,0.0,72,False,0.0,0,0,0,0,0,Season-long loan to Fleetwood Town,45,0,0,0,153678.jpg,0.0,0,0,Long,0.6,False,24.0,u,3,90,0.0,0,3562,101,24764,932,0.0,0.0,Long,0
72,0,0,55,,,1,60772,0,0,0,0,0.0,0,230,1,2.2,2.7,2,Thibaut,2.7,6,0,5.4,73,False,54.0,0,0,0,0,450,,55,0,0,0,60772.jpg,2.4,0,6,Courtois,9.5,False,13.0,a,4,8,0.0,12,75995,1401,83866,13163,0.5,2.2,Courtois,1
73,0,0,0,,,0,40349,0,0,-1,1,0.0,0,150,1,-0.5,0.0,0,Asmir,0.0,0,0,0.0,74,False,0.0,0,0,0,0,0,,49,0,0,0,40349.jpg,0.0,0,0,Begovic,0.2,False,1.0,a,4,8,0.0,0,771,52,3182,215,0.0,0.0,Begovic,0
